Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Ambassadeurs, Hotel des 	, Paris, France	Ambassadeurs, Hotel des , Paris, France			48° 52_ 12.52_ N 02° 18_ 59.35_ E	http://fr.wikipedia.org/wiki/Palais_de_l%27Élysée#H.C3.B4tel_des_Ambassadeurs_extraordinaires	http://commons.wikimedia.org/wiki/File:Détail_de_la_façade_du_palais_de_l%27Elysée.JPG	 	12	 	 	 	12
Ambigu 	, Paris, France	Ambigu , Paris, France			48.8670°N 2.3651°E	http://fr.wikipedia.org/wiki/Théâtre_de_l'Ambigu-Comique	http://commons.wikimedia.org/wiki/File:Ambigutheatre.jpg	 	13	 		Boulevard du Temple, Paris	13
Amiral-Poussin, rue de l'	, Paris, France	Amiral-Poussin, rue de l', Paris, France			48° 50_ 34_ N 2° 18_ 01_ E 	http://fr.wikipedia.org/wiki/Rue_de_l'Amiral-Roussin	http://commons.wikimedia.org/wiki/File:P1150634_Paris_XV_rue_de_l%27Amiral-Roussin_rwk.jpg	 	10	 	 	 	10
Amsterdam, rue d	, Paris, France	Amsterdam, rue d, Paris, France	50.09643, 2.85933		48° 52_ 46_ N 2° 19_ 37_ E 	http://fr.wikipedia.org/wiki/Rue_d%27Amsterdam	http://commons.wikimedia.org/wiki/File:Paris_08_-_Herboristerie_87.jpg	 	8	 	 	 	8
Ancienne-Comédie, rue de l'	, Paris, France	Ancienne-Comédie, rue de l', Paris, France			48° 51_ 11_ N 2° 20_ 19_ E 	http://fr.wikipedia.org/wiki/Rue_de_l%27Ancienne-Comédie	http://commons.wikimedia.org/wiki/File:P1000802_Paris_VI_Rue_de_l%27Ancienne-Comédie_reductwk.JPG	 	6,12	 	 	 	6,12
Ancre passage de l’	, Paris, France	Ancre passage de l’, Paris, France	50.09643, 2.85933		48° 51_ 52_ N 2° 21_ 09_ E	http://fr.wikipedia.org/wiki/Passage_de_l%27Ancre	http://commons.wikimedia.org/wiki/File:Paris_passage_de_l_ancre4.jpg	 	4	 	 	 	4
Café Anglais	, Paris, France	Café Anglais, Paris, France	48.852615, 2.36235		48° 52_ 16.58_ N 2° 20_ 14.81_ E	http://fr.wikipedia.org/wiki/Café_Anglais	http://commons.wikimedia.org/wiki/File:Café_anglais.jpg		12	 	 	 	12
Anglais, rue des 	, Paris, France	Anglais, rue des , Paris, France			48° 51_ 03_ N 2° 20_ 52_ E 	http://fr.wikipedia.org/wiki/Rue_des_Anglais	http://commons.wikimedia.org/wiki/File:Rue_des_Anglais,_Paris,_1913.jpg	 	6	 	 	 	6
Angoulême, rue d'	, Paris, France	Angoulême, rue d', Paris, France			48° 52_ 01_ N 2° 22_ 27_ E 	http://fr.wikipedia.org/wiki/Rue_d’Angoulême	http://commons.wikimedia.org/wiki/File:Bury_-_Modèles_de_serrurerie_-_planche_05.jpg	 	4,12	 	 	 	4,12
Anjou, rue d'	, Paris, France	Anjou, rue d', Paris, France			48° 52_ 21_ N 2° 19_ 20_ E 	http://fr.wikipedia.org/wiki/Rue_d'Anjou	http://media.notrefamille.com/cartes-postales-photos/cartes-postales-photos-La-Rue-d-Anjou-et-la-Caisse-d-Epargne-ANCENIS-44150-5406-20070930-6o2u2g5a2o3c9c1b1j0n.jpg-1-maxi.jpg	 	6	 	 	 	6
Anjou-Saint-Honoré, rue d'	, Paris, France	Anjou-Saint-Honoré, rue d', Paris, France			48° 52_ 21_ N 2° 19_ 20_ E 	http://fr.wikipedia.org/wiki/Rue_d'Anjou	http://media.notrefamille.com/cartes-postales-photos/cartes-postales-photos-La-Rue-d-Anjou-et-la-Caisse-d-Epargne-ANCENIS-44150-5406-20070930-6o2u2g5a2o3c9c1b1j0n.jpg-1-maxi.jpg	 	8	 	 	 	8
Antin, allée d'	, Paris, France	Antin, allée d', Paris, France	50.09643, 2.85933		48° 52_ 26_ N 2° 20_ 03_ E	http://fr.wikipedia.org/wiki/Cité_d'Antin		 	2	 	 	 	2
Antin Ia Chaussée d'	, Paris, France	Antin Ia Chaussée d', Paris, France			48° 52_ 26_ N 2° 19_ 58_ E 	http://fr.wikipedia.org/wiki/Rue_de_la_Chaussée-d%27Antin	http://commons.wikimedia.org/wiki/File:Chaussée_d%27Antin.jpg	 	9,1	 	 	 	9,1
Antin, rue de Ia Chaussée d	, Paris, France	Antin, rue de Ia Chaussée d, Paris, France	48.95539, 2.86727		48° 52_ 26_ N 2° 19_ 58_ E 	http://fr.wikipedia.org/wiki/Rue_de_la_Chaussée-d%27Antin	http://commons.wikimedia.org/wiki/File:Chaussée_d%27Antin.jpg	 	5, 8, 9	 	 	 	5, 8, 9
Antin quarter 	, Paris, France	Antin quarter , Paris, France	48.95539, 2.86727		48° 52_ 30_ N 2° 20_ 01_ E 	http://fr.wikipedia.org/wiki/Quartier_de_la_Chaussée-d'Antin	http://commons.wikimedia.org/wiki/File:Chaussée_d%27Antin.jpg	 	9	 	 	 	9
Antiques du Roi, Cabinet des 	, Paris, France	Antiques du Roi, Cabinet des , Paris, France			48.8678°N 2.3384°E	http://en.wikipedia.org/wiki/Cabinet_des_Médailles	http://en.wikipedia.org/wiki/File:Cabinet_des_Medailles.jpg	 	8	 	 	 	8
Antoine-Dubois, rue 	, Paris, France	Antoine-Dubois, rue , Paris, France	48.852615, 2.36235		48° 51_ 04_ N 2° 20_ 23_ E 	http://fr.wikipedia.org/wiki/Rue_Antoine-Dubois	http://a136.idata.over-blog.com/550x731/2/59/50/84/Livres--revues--magazines/3eme-republique/rue-ecole-medecine.jpg	 	6	 	 	 	6
Arbalète, rue de l'	, Paris, France	Arbalète, rue de l', Paris, France	48.851285, 2.33998		48° 50_ 23_ N 2° 20_ 51_ E	http://fr.wikipedia.org/wiki/Rue_de_l'Arbalète	http://www.carnavalet.paris.fr/sites/default/files/styles/oeuvre_zoom/public/34479-9.jpg	 	3	 	 	 	3
Arbre-Sec, rue de l'	, Paris, France	Arbre-Sec, rue de l', Paris, France	50.09643, 2.85933		48° 51_ 36_ N 2° 20_ 32_ E 	http://fr.wikipedia.org/wiki/Rue_de_l'Arbre-Sec_(Paris)	http://media.notrefamille.com/cartes-postales-photos/cartes-postales-photos-Rue-de-l-Arbre-Sec-PARIS-75001-5069-20070929-5f4e2x1g2p8t7h6i0w5y.jpg-1-maxi.jpg	 	8	 	 	 	8
Arc-de-Triomphe de l’Etoile l'	, Paris, France	Arc-de-Triomphe de l’Etoile l', Paris, France	50.09643, 2.85933		41° 23_ 27_ N 2° 10_ 50_ E 	https://fr.wikipedia.org/wiki/Arc_de_Triomphe	http://www.inter-coproprietes.com/jeditoo/france/IleDeFrance/Paris/huitieme/picts/Arc%20triomphe/place%20de%20l'Etoile%20vers%201830.jpg	 	2	 	 	 	2
Arcade, rue de l'	, Paris, France	Arcade, rue de l', Paris, France	48.852615, 2.36235		48° 52_ 23_ N 2° 19_ 27_ E 	https://fr.wikipedia.org/wiki/Rue_de_l'Arcade	https://commons.wikimedia.org/wiki/File:P1030394_Paris_VIII_rues_des_Mathurins_et_de_l%27Arcade_décoration_d%27immeuble_rwk.JPG	 	2	 	 	 	2
Arcade-Saint-Jean 	, Paris, France	Arcade-Saint-Jean , Paris, France			48° 53_ 20_ N 2° 19_ 27_ E 	http://fr.wikipedia.org/wiki/Rue_Saint-Jean_(Paris)	http://commons.wikimedia.org/wiki/File:L'Arcade_Saint-Jean.jpg?uselang=fr	 	4	 	 	 	4
Arcades du Palais-Royal 	, Paris, France	Arcades du Palais-Royal , Paris, France	48.864449, 2.33854		48° 51_ 52_ N 2° 20_ 15_ E 	http://fr.wikipedia.org/wiki/Palais-Royal	http://commons.wikimedia.org/wiki/File:Palais-royal_1815.jpg	 	14	 	 	 	14
Arche-Marion, passage de l'	, Paris, France	Arche-Marion, passage de l', Paris, France	48.852615, 2.36235		N 48° 51.294 E	http://fr.wikipedia.org/wiki/Panneau_Histoire_de_Paris	http://digital.slv.vic.gov.au/webclient/StreamGate?folder_id=200&dvs=1373336396347~258	 	4	 	 	 	4
Archevêché l	, Paris, France	Archevêché l, Paris, France	48.851735, 2.351675		48° 51_ 06_ N 02° 21_ 06_ E	http://fr.wikipedia.org/wiki/Pont_de_l'Archevêché	http://commons.wikimedia.org/wiki/File:P1130420_Paris_IVet_V_pont_de_l'Archevêché_rwk.JPG	 	11	 	 	 	11
Archevêché pont de l'Archives 	, Paris, France	Archevêché pont de l'Archives , Paris, France	48.852615, 2.36235		48° 51_ 06_ N 02° 21_ 06_ E	http://fr.wikipedia.org/wiki/Pont_de_l'Archevêché	http://commons.wikimedia.org/wiki/File:P1130420_Paris_IVet_V_pont_de_l'Archevêché_rwk.JPG	 	4	 	 	 	4
Arcole, Pont d'	, Paris, France	Arcole, Pont d', Paris, France			48° 51_ 21_ N 02° 21_ 03_ E 	http://fr.wikipedia.org/wiki/Pont_d'Arcole	http://2.bp.blogspot.com/-rQFarPQvonk/Tz8lNZwXi6I/AAAAAAAAAoY/cVGF0He7l3k/s400/Pont+d'Arcole.jpg	 	11	 	 	 	11
Arcole, rue d'	, Paris, France	Arcole, rue d', Paris, France			48° 51_ 15_ N 2° 20_ 58_ E 	https://fr.wikipedia.org/wiki/Rue_d'Arcole	https://commons.wikimedia.org/wiki/File:P1030919_Paris_IV_rue_d%27Arcole_rwk.JPG	 	11	 	 	 	11
Argent, Tour d'	, Paris, France	Argent, Tour d', Paris, France	48.87478, 2.290135		48° 50_ 59.58_ N, 2° 21_ 17.6_ E	http://en.wikipedia.org/wiki/Tour_d'Argent	http://en.wikipedia.org/wiki/File:Tour_dArgent_crop_blur_900_wiki_Img_2171.jpg	 	11	 	 	 	11
Argenteuil, rue d'	, Paris, France	Argenteuil, rue d', Paris, France			48° 51_ 58_ N 2° 20_ 00_ E 	http://fr.wikipedia.org/wiki/Rue_d'Argenteuil	http://images.fineartamerica.com/images-medium-large/rue-de-la-chaussee-at-argenteuil-alfred-sisley.jpg	 	8	 	 	 	8
Armignac ostel d'	, Paris, France	Armignac ostel d', Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	4,8	 	 	 	4,8
Arsenal 	, Paris, France	Arsenal , Paris, France			48° 51_ 01_ N 2° 21_ 48.70_ E 	http://fr.wikipedia.org/wiki/Quartier_de_l'Arsenal	http://commons.wikimedia.org/wiki/File:Bibliothèque_de_l%27Arsenal_by_Charles_Ransonnette_1848.jpg	 	4	 	 	 	4
Arsenal, Bibliothèque de l'	, Paris, France	Arsenal, Bibliothèque de l', Paris, France	48.8522, 2.36589		48° 51_ 01_ N 2° 21_ 48.70_ E 	http://fr.wikipedia.org/wiki/Bibliothèque_de_l%27Arsenal	http://commons.wikimedia.org/wiki/File:Bibliothèque_de_l%27Arsenal_by_Charles_Ransonnette_1848.jpg	 	1,4	 	 	 	1,4
Arsenal quarter 	, Paris, France	Arsenal quarter , Paris, France	48.852615, 2.36235		48° 51_ 01_ N 2° 21_ 48.70_ E 	http://fr.wikipedia.org/wiki/Quartier_de_l'Arsenal	http://commons.wikimedia.org/wiki/File:P1010317_Carte_de_Paris-Vaugondy-1760_partie_est_quartier_de_l%27Arsenal_reductwk.JPG	 	4	 	 	 	4
Artois, rue d'	, Paris, France	Artois, rue d', Paris, France			48° 52_ 22_ N 2° 18_ 28_ E 	https://fr.wikipedia.org/wiki/Rue_d'Artois	https://commons.wikimedia.org/wiki/File:P1050465_Paris_VIII_rue_d%27Artois_rwk.JPG	 	5,9	 	 	 	5,9
Arts, pont des 	, Paris, France	Arts, pont des , Paris, France			48° 51_ 30_ N 02° 20_ 15_ E 	http://fr.wikipedia.org/wiki/Pont_des_Arts	http://commons.wikimedia.org/wiki/File:Pont_des_arts_et_institut.JPG	 	11	 	 	 	11
Assas, rue d'	, Paris, France	Assas, rue d', Paris, France			48° 50_ 44_ N 2° 19_ 54_ E 	http://fr.wikipedia.org/wiki/Rue_d'Assas	http://commons.wikimedia.org/wiki/File:Paris_rue_d_assas.jpg	 	6	 	 	 	6
Église Sainte-Marie des Batignolles	, Paris, France	Église Sainte-Marie des Batignolles, Paris, France			48° 53_ 12.5_ N 02° 19_ 4.5_ E 	http://fr.wikipedia.org/wiki/Église_Sainte-Marie_des_Batignolles	http://en.wikipedia.org/wiki/File:Eglise_Batignolles.jpg	 	8	 	 	 	8
Aubry-le-Boucher, rue 	, Paris, France	Aubry-le-Boucher, rue , Paris, France			48° 51_ 37_ N 2° 21_ 00_ E	http://fr.wikipedia.org/wiki/Rue_Aubry-le-Boucher	http://www.roseraie.lautre.net/space/images/rAubryLeBoucher.jpeg	 	4	 	 	 	4
Aubusson 	, Paris, France	Aubusson , Paris, France	50.09643, 2.85933		48.854815, 2.33939		http://opentravel.com/img/Hotel/ho/hotel-d-aubusson-paris-france-355345_3.jpg	 	12	 	 	 	12
Augustins, quai des  	, Paris, France	Augustins, quai des  , Paris, France			48° 51_ 17_ N 2° 20_ 32_ E 	http://fr.wikipedia.org/wiki/Quai_des_Grands-Augustins	http://commons.wikimedia.org/wiki/File:Paris_Quai_des_Grands_Augustins.JPG	 	6,12	 	 	 	6,12
Austerlitz, pont d'	, Paris, France	Austerlitz, pont d', Paris, France			48° 50_ 42_ N 2° 21_ 58_ E 	http://fr.wikipedia.org/wiki/Pont_d'Austerlitz	http://commons.wikimedia.org/wiki/File:Paris-PontDAusterlitz-19e.jpg	 	2	 	 	 	2
Autruche, rue de 	, Paris, France	Autruche, rue de , Paris, France			48.85950°N 2.33970°E	http://en.wikipedia.org/wiki/Hôtel_du_Petit-Bourbon	http://mw2.google.com/mw-panoramio/photos/medium/20410388.jpg	 	1,8	 	 	 	1,8
Averne, theâtre de Mme d'	, Paris, France	Averne, theâtre de Mme d', Paris, France						 	13	 	 	 	13
Aveugles, Café des 	, Paris, France	Aveugles, Café des , Paris, France	48.852615, 2.36235		48° 51_ 57_ N 2° 20_ 18_ E 	http://fr.wikipedia.org/wiki/Galerie_de_Beaujolais	http://paris-anecdote.fr/local/cache-vignettes/L486xH340/aveuglesGD-8f497.jpg	 	12	 	 	 	12
Babillards, rue des 	, Paris, France	Babillards, rue des , Paris, France						 	4	 	 	 	4
Babylone, rue de 	, Paris, France	Babylone, rue de , Paris, France			48° 51_ 06_ N 2° 19_ 17_ E	http://fr.wikipedia.org/wiki/Rue_de_Babylone	http://commons.wikimedia.org/wiki/File:Paris_rue_de_babylone.jpg	 	10	 	 	 	10
Bac, rue du 	, Paris, France	Bac, rue du , Paris, France			48° 51_ 23_ N, 2° 19_ 35_ E	http://en.wikipedia.org/wiki/Rue_du_Bac,_Paris	http://en.wikipedia.org/wiki/File:RueduBac.JPG	 	10	 	 	 	10
Baillet, rue 	, Paris, France	Baillet, rue , Paris, France			48° 51_ 35_ N 2° 20_ 34_ E	http://fr.wikipedia.org/wiki/Rue_Baillet	File:P1070824_Paris_Ier_rue_Baillet_rwk.JPG	 	8	 	 	 	8
Bains Chinois, Aux 	, Paris, France	Bains Chinois, Aux , Paris, France	48.85976, 2.342645		48° 52_ 17.11_ N, 2° 20_ 13.19_ E	http://fr.wikipedia.org/wiki/Boulevard_des_Italiens	http://commons.wikimedia.org/wiki/File:Bains_chinois_-_Boulevard_des_Italiens.jpg	 	12	 	 	 	12
Bains Turcs Aux 	, Paris, France	Bains Turcs Aux , Paris, France			48.866328,2.361541		http://eventail.pagesperso-orange.fr/Monstre%20et%20magicien/1755fdd.jpg	 	12	 	 	 	12
Ballets, rue des 	, Paris, France	Ballets, rue des , Paris, France			48° 51_ 21_ N 2° 21_ 40_ E	http://fr.wikipedia.org/wiki/Rue_Malher	http://gallica.bnf.fr/ark:/12148/btv1b84575841/f1.highres	 	4	 	 	 	4
Banque 	, Paris, France	Banque , Paris, France			48° 51_ 52_ N 2° 20_ 21_ E	http://fr.wikipedia.org/wiki/Banque_de_France	http://commons.wikimedia.org/wiki/File:P1000553_Paris_I_Rue_Croix_des_Petits-Champs_Banque_de_France_reductwk.JPG	 	8	 	 	 	8
Banque quarter 	, Paris, France	Banque quarter , Paris, France	48.86818, 2.341075		48° 52_ 9_ N, 2° 20_ 26_	http://en.wikipedia.org/wiki/2nd_arrondissement_of_Paris	http://en.wikipedia.org/wiki/File:Paris_metro3_-_Bourse_-_entrance.jpg	 	9	 	 	 	9
Barbet (de Jouy), rue 	, Paris, France	Barbet (de Jouy), rue , Paris, France			48° 51_ 12_ N 2° 19_ 03_ E	http://fr.wikipedia.org/wiki/Rue_Barbet-de-Jouy	http://commons.wikimedia.org/wiki/File:P1170496_Paris_VII_rue_Barbet-de-Jouy_n°26_rwk.jpg	 	10	 	 	 	10
Barbette, rue 	, Paris, France	Barbette, rue , Paris, France	48.858865, 2.360689		48° 51_ 32_ N 2° 21_ 39_ E 	http://fr.wikipedia.org/wiki/Rue_Barbette	http://commons.wikimedia.org/wiki/File:Paris_rue_barbette.jpg	 	7	 	 	 	7
Barillerie, rue de la 	, Paris, France	Barillerie, rue de la , Paris, France	48.858865, 2.360689		48° 51_ 19_ N 2° 20_ 45_ E 	http://fr.wikipedia.org/wiki/Boulevard_du_Palais_(Paris)	http://www.antiquaprintgallery.com/ekmps/shops/richben90/images/paris-palais-de-justice-vers-la-rue-de-la-barillerie-antique-print-1831-153305-p.jpg	 	11	 	 	 	11
Barre-du-Bec, rue 	, Paris, France	Barre-du-Bec, rue , Paris, France	45.315758, 7.039426		48° 51_ 42_ N 2° 21_ 24_ E	http://fr.wikipedia.org/wiki/Rue_du_Temple	http://commons.wikimedia.org/wiki/File:ND_28_-_PARIS_-_La_Rue_du_temple_et_la_Place_de_la_République.jpg	 	4	 	 	 	4
Barres, rue des 	, Paris, France	Barres, rue des , Paris, France	50.09643, 2.85933		48° 51_ 19_ N 2° 21_ 19_ E	http://fr.wikipedia.org/wiki/Rue_des_Barres	http://commons.wikimedia.org/wiki/File:Paris-in-1981-071.jpg	 	4	 	 	 	4
Barrières 	, Paris, France	Barrières , Paris, France						 	12	 	 	 	12
Basse-Porte-Saint-Denis, rue 	, Paris, France	Basse-Porte-Saint-Denis, rue , Paris, France	48.818219, 2.450062		48° 51_ 52_ N 2° 21_ 01_ E	http://fr.wikipedia.org/wiki/Rue_Saint-Denis_(Paris)	http://commons.wikimedia.org/wiki/File:Thomas_Girtin_004.jpg	 	4	 	 	 	4
Basse-du-Rempart, rue 	, Paris, France	Basse-du-Rempart, rue , Paris, France	48.840065, 2.30008		48° 52_ 15_ N 2° 20_ 00_ E 	http://fr.wikipedia.org/wiki/Rue_Basse-du-Rempart	http://commons.wikimedia.org/wiki/File:Hôtel_Radix_de_Sainte-Foix.jpg	 	8	 	 	 	8
Basse-Saint-Pierre, rue 	, Paris, France	Basse-Saint-Pierre, rue , Paris, France	50.09643, 2.85933		48° 51_ 50_ N 2° 17_ 46_ E 	http://fr.wikipedia.org/wiki/Rue_de_la_Manutention	http://commons.wikimedia.org/wiki/File:P1030791_Paris_XVI_rue_de_la_Manutention_escalier_rwk.JPG	 	2	 	 	 	2
Bastille Ia  	, Paris, France	Bastille Ia  , Paris, France	48.853479, 2.370204		48° 51_ 11_ N 2° 22_ 10_ E 	http://fr.wikipedia.org/wiki/Place_de_la_Bastille	http://commons.wikimedia.org/wiki/File:Place_de_la_Bastille_1800.jpg	 	4,12	 	 	 	4,12
Bastille place de Ia  	, Paris, France	Bastille place de Ia  , Paris, France			48° 51_ 11_ N 2° 22_ 10_ E 	http://fr.wikipedia.org/wiki/Place_de_la_Bastille	http://commons.wikimedia.org/wiki/File:Place_de_la_Bastille_1800.jpg	 	4,7	 	 	 	4,7
Batailles, rue des 	, Paris, France	Batailles, rue des , Paris, France			48° 52_ 06_ N 2° 17_ 44_ E 	http://fr.wikipedia.org/wiki/Avenue_d'Iéna	http://commons.wikimedia.org/wiki/File:Place_d_iena.JPG	 	2	 	 	 	2
Batignolles the 	, Paris, France	Batignolles the , Paris, France	48.883395, 2.326375		48.883395, 2.326375			 	2	 	 	 	2
Beaujon Montagnes 	, Paris, France	Beaujon Montagnes , Paris, France	0, 0		48° 52_ 51_ N 2° 18_ 01_ E 	http://fr.wikipedia.org/wiki/Folie_Beaujon	http://commons.wikimedia.org/wiki/File:Montagnes_beaujon_1817.jpg	 	8	 	 	 	8
Beaumarchais, boulevard	, Paris, France	Beaumarchais, boulevard, Paris, France			48° 51_ 26_ N 2° 22_ 05_ E 	http://fr.wikipedia.org/wiki/Boulevard_Beaumarchais	http://fr.wikipedia.org/wiki/Fichier:PA00086525_Boulangerie_boulevard_beaumarchais_Paris_11.jpg	 	12	 	 	 	12
Beaunarchais, theâtre de 	, Paris, France	Beaunarchais, theâtre de , Paris, France						 	13	 	 	 	13
Beaune, pont de 	, Paris, France	Beaune, pont de , Paris, France			48° 51_ 29_ N 2° 19_ 46_ E 			 	11	 	 	 	11
Beaune, rue de 	, Paris, France	Beaune, rue de , Paris, France			48° 51_ 29_ N 2° 19_ 46_ E 	http://fr.wikipedia.org/wiki/Rue_de_Beaune	http://commons.wikimedia.org/wiki/File:P1020818_Paris_VII_Rue_de_Beaune_rwk.JPG	 	10	 	 	 	10
Beauregard, rue 	, Paris, France	Beauregard, rue , Paris, France			48° 52_ 09_ N 2° 20_ 57_ E 	http://fr.wikipedia.org/wiki/Rue_Beauregard	http://commons.wikimedia.org/wiki/File:P1010062_Paris_II_Rue_Beauregard_reductwk.JPG	 	9	 	 	 	9
Beautreillis, rue 	, Paris, France	Beautreillis, rue , Paris, France	48.869376, 2.350196		48.869376, 2.350196			 	4	 	 	 	4
Beaux-Arts 	, Paris, France	Beaux-Arts , Paris, France	48.85371, 2.36448		48.85371, 2.36448			 	10	 	 	 	10
Beaux-Arts Académie des 	, Paris, France	Beaux-Arts Académie des , Paris, France	48.856365, 2.335595		48.856365, 2.335595			 	6	 	 	 	6
Bellechasse, rue de  	, Paris, France	Bellechasse, rue de  , Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	7,1	 	 	 	7,1
Bourbon, Hotel de	, Paris, France	Bourbon, Hotel de, Paris, France			 			 	8	27	 	 	8
Petit-Bourbon, hôtel de	, Paris, France	Petit-Bourbon, hôtel de, Paris, France			48° 51_ 34.2_ N, 2° 20_ 22.92_ E	http://en.wikipedia.org/wiki/Hôtel_du_Petit-Bourbon		 	8	 	 	 	8
Bourbon, quai de	, Paris, France	Bourbon, quai de, Paris, France			48° 51_ 11_ N 2° 21_ 20_ E	http://fr.wikipedia.org/wiki/Quai_de_Bourbon	http://commons.wikimedia.org/wiki/File:Quai_de_Bourbon_Paris_4e_001.JPG	 	11	 	 	 	11
Bourbon (Lille), rue de	, Paris, France	Bourbon (Lille), rue de, Paris, France			 			 	10	 	 	 	10
Bourbon-Villeneuve, rue	, Paris, France	Bourbon-Villeneuve, rue, Paris, France			48° 52_ 04_ N 2° 20_ 50_ E	http://fr.wikipedia.org/wiki/Rue_d'Aboukir		 	4	 	 	 	4
Bourdon, boulevard	, Paris, France	Bourdon, boulevard, Paris, France			48° 51_ 05_ N 2° 22_ 03_ E 	http://fr.wikipedia.org/wiki/Boulevard_Bourdon	http://commons.wikimedia.org/wiki/File:Paris-in-1981-128.jpg	 	 4, 12	 	 	 	 4, 12
Bourdormais, quarter	, Paris, France	Bourdormais, quarter, Paris, France			 			 	4	 	 	 	4
Bourdonnais, rue des	, Paris, France	Bourdonnais, rue des, Paris, France			 			 	4	 	 	 	4
Bourg-PAbbé, rue	, Paris, France	Bourg-PAbbé, rue, Paris, France			 			 	4	 	 	 	4
Bourgogne, Hotel de	, Paris, France	Bourgogne, Hotel de, Paris, France			 			 	4	 	 	 	4
Bourgogne, rue de	, Paris, France	Bourgogne, rue de, Paris, France			 			 	10	 	 	 	10
Bourse	, Paris, France	Bourse, Paris, France			 			 	 5, 8, 9	 	 	 	 5, 8, 9
Bourse, Provisional	, Paris, France	Bourse, Provisional, Paris, France	48.869565, 2.34045		48.869565, 2.34045			 	9	 	 	 	9
Bourse, place de la	, Paris, France	Bourse, place de la, Paris, France			 			 	9	 	 	 	9
Bourse, rue de la	, Paris, France	Bourse, rue de la, Paris, France			48° 52_ 9_ N, 2° 20_ 29_ E			 	9	 	 	 	9
Bouthor	, Paris, France	Bouthor, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	13	 	 	 	13
Breguet	, Paris, France	Breguet, Paris, France						 	12	 	 	 	12
