Region	Type of Place	Description	Discourse	Character(s) Involved	Date	Types Involved	Book	Roman Numerals	Pages		see Also	Date	Types Involved	Book Title	Book	Roman Numerals	Pages		Character Names	Place Raw	Quartier	Lat Long	WikiURL	ImageURL
Outer Left-Bank Faubourgs	Quarter	The change in quarters at Saint-Jacques	Description				PB 	XX	10	 				Les petits bourgeois	PB 	XX	10	 		Saint-Jacques quarter	Saint-Jacques			
Outer Left-Bank Faubourgs	Plaine	Silk-worm industry in the plaine de Montrouge	Description				EHC 	XX	361	 				L'envers de l'histoire contemporain	EHC 	XX	361	 		Plaine de Montrouge	Saint-Jacques			
Outer Left-Bank Faubourgs	Heights	Heights of Montrouge	Description				PG 	VI	222	 				Le père Goriot	PG 	VI	222	 		Heights of Montrouge	Saint-Jacques			
Outer Left-Bank Faubourgs	Plaine	Plaines de Montrouge seen from the Jardies	Description				LE CB	I, VI	483  42	 	see also : DE XXXVIII, 190			Lettre aux écrivains du XIXe siècle::Les cahiers Balzaciens	LE CB	I, VI	483  42	 		Plaine de Montrouge	Saint-Jacques			
Outer Left-Bank Faubourgs	Street	Orléans road	Description				LE 	I	483	 				Lettre aux écrivains du XIXe siècle	LE 	I	483	 		Orleans Road	Saint-Jacques			
Outer Left-Bank Faubourgs	Quarter	Time when the Enfer quarter enjoyed favor	Description				PB 	XX	6	 				Les petits bourgeois	PB 	XX	6	 		Enfer Quarter	Saint-Jacques			
Outer Left-Bank Faubourgs	Quarter	Montparnasse	Description				DV 	II	358	 				Un début dans la vie	DV 	II	358	 		Monparnasse	Montparnasse 			
Outer Left-Bank Faubourgs	Quarter	Description of a part of the Montparnasse quarter	Description				F 	XIII	148	 				Ferragus	F 	XIII	148	 		Monparnasse quarter	Montparnasse 			
Outer Left-Bank Faubourgs	Quarter	Description of a part of the Montparnasse quarter	Description				DE 	XXXVIII	190	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	190	 		Monparnasse quarter	Montparnasse 			
Outer Left-Bank Faubourgs	Quarter	Duguay-Trouiu quarter described	Description				RP 	XL	637, 638, 642, 643.	3				Une rue de Paris et son habitant	RP 	XL	637, 638, 642, 643.	3		Duguay-Trouiu quarter	Duguay-Trouiu quarter			
Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	Description				The Gros-Caillou,  Cent	JL 	37 43, 43	 				Le centenaire	Cent	JL 	37 43, 43	 		The Gros-Caillou	Saint-Jacques	http://www.openStreetmap.org/?lat=48.867284&lon=2.328348&zoom=18&layers=M#		
Outer Left-Bank Faubourgs	Quarter	Hulot promises Steinbock an atelier at Gros-Caillou	Event	Hulot::Steinbock			B 	XVII	114, 119 241, 278	 				La cousine Bette	B 	XVII	114, 119 241, 278	 	Hulot::Steinbock, Count Wenceslas	The Gros-Caillou	Saint-Jacques	http://www.openStreetmap.org/?lat=48.867284&lon=2.328348&zoom=18&layers=M#		
Outer Left-Bank Faubourgs	Park	Saint-Cloud park	Description				MD]M, C, LE	I, II 	373 13 1, 484	 				La muse du département::M::C::LE	MD]M, C, LE	I, II 	373 13 1, 484	 		Saint-Cloud park	Saint-Cloud	48°50_N 2°13_E		
Outer Left-Bank Faubourgs	Hill	Saint-Cloud hill	Description				LE 	I	483	 				Lettre aux écrivains du XIXe siècle	LE 	I	483	 		Saint-Cloud hill	Saint-Cloud	48°50_N 2°13_E		
Outer Left-Bank Faubourgs	Burial Place	The catacombs	Description				Cent	 	59, 59, 59, 61, 64.	 				Le centenaire	Cent	 	59, 59, 59, 61, 64.	 		The catacombs		48° 50_ 02_ N 2° 19_ 56_ E 		
Outer Left-Bank Faubourgs	Street	The rue de Ia Bourbe	Description				TA 	XXXIX	516	 				Terme d'Avril	TA 	XXXIX	516	 		rue de la Bourbe				
Outer Left-Bank Faubourgs	Residence	Borget in the rue Cassini (1833)	Fact	Borget	1833		CIZC 	 	122	 		1833		Correspondence inéditee avec Mme Zulma Carraud	CIZC 	 	122	 	Borget	rue Cassini				
Outer Left-Bank Faubourgs	Residence	Baizac in the rue Cassini (1832)	Fact	Balzac	1832		CB 	I	 5, 17.	 		1832		Les cahiers Balzaciens	CB 	I	 5, 17.	 	Balzac	rue Cassini				
Outer Left-Bank Faubourgs	Residence	Baizac in the rue Cassini (1835)	Fact	Balzac	1835		CB 	VI	31	 		1835		Les cahiers Balzaciens	CB 	VI	31	 	Balzac	rue Cassini				
Outer Left-Bank Faubourgs	Residence	Baizac no longer in the rue Cassini (1837)	Fact	Balzac	1837		LE, C 	 I, I	 353, 415, 483 345.	 		1837		Lettre aux écrivains du XIXe siècle::Correspondence 	LE, C 	 I, I	 353, 415, 483 345.	 	Balzac	rue Cassini				
Outer Left-Bank Faubourgs	Residence	The Matifats live in the rue du Cherche-Midi	Fact	Matifats			MN 	XIV	389, 390 417	 				La maison Nucingen 	MN 	XIV	389, 390 417	 	Matifats	rue du Cherche-Midi				
Outer Left-Bank Faubourgs	Street	The rue du Cherche-Midi	Description				TA 	XXXIX	516	 				Terme d'Avril	TA 	XXXIX	516	 		rue du Cherche-Midi				
Outer Left-Bank Faubourgs	Street	Description of the rue Duguay-Trouin	Description				RP 	XL	637, 637, 637, 642, 642, 643.	 				Une rue de Paris et son habitant	RP 	XL	637, 637, 637, 642, 642, 643.	 		rue Duguay-Trouin				
Outer Left-Bank Faubourgs	Street	Agathe and Joseph pass through the rue d’Enfer in the stagecoach	Event	Agathe::Joseph			R 	IX	355	 				La rabouilleuse	R 	IX	355	 	Agathe::Joseph	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	Lucien takes a one-horse chaise in the rue d’Enfer	Event	Lucien			P 	XII	363	 				Pierrette	P 	XII	363	 	Lucien	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	Doctor Berton lives in the rue d’Enfer	Fact	Doctor Berton			EHC 	XX	353, 355, 375, 451.	 				L'envers de l'histoire contemporain	EHC 	XX	353, 355, 375, 451.	 	Doctor Berton	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	Haymarket in the rue d’Enfer	Description				B 	XVII	159	 				La cousine Bette	B 	XVII	159	 		rue d’Enfer				
Outer Left-Bank Faubourgs	Street	Mlle Collevile moves to the rue d’Enfer in 1833	Event	Mlle Colleville	1833		PB 	XX	32, 71, 73, 74, 74.	 		1833		Les petits bourgeois	PB 	XX	32, 71, 73, 74, 74.	 	Mlle Colleville	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	A Ia Providence, Nant, grocer, rue d’Enfer	Fact	Jules			DE	XXXVIII	195	 				Petit dictionnaire critique des enseignes de Paris	DE	XXXVIII	195	 	Jules	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	A Ia Providence, Nant, grocer, rue d’Enfer	Fact				EHC 	XX 	375	 				L'envers de l'histoire contemporain	EHC 	XX 	375	 		rue d’Enfer				
Outer Left-Bank Faubourgs	Street	A Ia Providence, Nant, grocer, rue d’Enfer	Fact	Nant			PB	XX	5	 				Les petits bougeois	PB	XX	5	 	Nant	rue d’Enfer				
Outer Left-Bank Faubourgs	Street	Jules follows the rue de l’Est	Event	Jules			F 	XIII	149	 				Ferragus	F 	XIII	149	 	Jules	rue d’Est				
Outer Left-Bank Faubourgs	Street	The rue du Faubourg-Saint-Jacques	Description				Cent	 	52, 58.	 				Le centenaire	Cent	 	52, 58.	 		rue du Faubourg Saint-Jacques				
Outer Left-Bank Faubourgs	Street	Théodose follows the rue du Faubourg Saint-Jacques	Event	Théodose			PB 	XX	96	 				Les petits bourgeois	PB 	XX	96	 	Théodose	rue du Faubourg Saint-Jacques				
Outer Left-Bank Faubourgs	Residence	Phéllion lives in the rue du Faubourg Saint-Jacques	Fact	Phéllion			E 	XIX	94	 				Les employés	E 	XIX	94	 	Phéllion	rue du Faubourg Saint-Jacques				
Outer Left-Bank Faubourgs	Quarter	Faubourg Saint-Jacques	Description				Cent	 	47, 48, 57, 58.	 				Le centenaire	Cent	 	47, 48, 57, 58.	 		rue du Faubourg Saint-Jacques				
Outer Left-Bank Faubourgs	Residence	Baizac goes to see a house in the rue du Montparnasse	Fact	Balzac			LE 	III	167, 170, 171, 172.	 				Lettre aux écrivains du XIXe siècle	LE 	III	167, 170, 171, 172.	 	Balzac	rue du Montparnasse				
Outer Left-Bank Faubourgs	Residence	Marshal Hulot has a house in the rue du Montparnasse	Fact	Marshal Hulot			B 	XVII	356, 357.	 				La cousine Bette	B 	XVII	356, 357.	 	Marshal Hulot	rue du Montparnasse				
Outer Left-Bank Faubourgs	School	Phéllion dines in a school in the rue Notre-Dame-des-Champs	Event	Phéllion			E 	XIX	94	 				Les employés	E 	XIX	94	 	Phéllion	rue Notre-Dame-des-Champs				
Outer Left-Bank Faubourgs	Residence	The Bourlacs live in the rue Notre-Dame-des-Champs	Fact	Bourlacs			EHC 	XX	353, 351, 358, 358, 362, 381, 435, 449.	 				L'envers de l'histoire contemporain	EHC 	XX	353, 351, 358, 358, 362, 381, 435, 449.	 	Bourlacs	rue Notre-Dame-des-Champs				
Outer Left-Bank Faubourgs	Street	The Bourlacs live in the rue Notre-Dame-des-Champs	Fact	Bourlacs			MPP 	XL	594	 				Monographie de la presse parisienne	MPP 	XL	594	 	Bourlacs	rue Notre-Dame-des-Champs				
Outer Left-Bank Faubourgs	Street	Description of the rue de I’Ouest	Description				IP 	XII	100, 101, 101	 				Illusions perdues 	IP 	XII	100, 101, 101	 		rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	The rue de l’Ouest was not paved	Fact				EHC 	XX	357	 				L'envers de l'histoire contemporain	EHC 	XX	357	 		rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	Silk-worm nursery in the rue de I’Ouest	Description				EIIC 	XX	361, 362	 				L'envers de l'histoire contemporain	EIIC 	XX	361, 362	 		rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	Godefroid goes to the cross-road of the rue de l’Ouest	Event	Godefroid			EHC 	XX	362	 				L'envers de l'histoire contemporain	EHC 	XX	362	 	Godefroid	rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	Godefroid goes to the cross-road of the rue de l’Ouest	Event	Godefroid			RP	XL	637	 				Une rue de Paris et son habitant	RP	XL	637	 	Godefroid	rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	Godefroid goes to the cross-road of the rue de l’Ouest	Event	Godefroid			TA	XXXIX	516	 				Terme d'Avril	TA	XXXIX	516	 	Godefroid	rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	Godefroid goes to the cross-road of the rue de l’Ouest	Event	Godefroid			Cent	 	50, 53, 54, 58	 				Le centenaire	Cent	 	50, 53, 54, 58	 	Godefroid	rue de l'Ouest				
Outer Left-Bank Faubourgs	Street	"A Xantippe, ""débit de patience"", rue de l’Oursine, 294"	Description				DE 	XXXVIII	186	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	186	 		294, rue de l’Oursine				
Outer Left-Bank Faubourgs	Street	The rue des Paillassons	Description				EM 	XXXIX	428	 				Exaltation des ministres et translation de leurs restes dans les caveaux du Panthéon	EM 	XXXIX	428	 		rue des Paillassons				
Outer Left-Bank Faubourgs	Residence	Thuiffier house near the rue Sainte-Catherine-d’Enfer	Description				PB 	XX	7	 				Les petits bourgeois	PB 	XX	7	 		rue Saint-Cathérine-d’Enfer				
Outer Left-Bank Faubourgs	Residence	Barbet lived in the rue Sainte-Catherine-d’Enfer	Fact	Barbet			EHC 	XX	448	 				L'envers de l'histoire contemporain	EHC 	XX	448	 	Barbet	rue Saint-Cathérine-d’Enfer				
Outer Left-Bank Faubourgs	Residence	Barbet lived in the rue Sainte-Catherine-d’Enfer	Fact	Barbet			PB 	XX	5, 14, 34, 34.	 				Les petits bourgeois	PB 	XX	5, 14, 34, 34.	 	Barbet	rue Saint-Cathérine-d’Enfer				
Outer Left-Bank Faubourgs	Street	Colleville near the rue Saint-Dominique	Event	Colleville			PB 	XX	32	 				Les petits bourgeois	PB 	XX	32	 	Colleville	rue Saint-Dominique d’Enfer				
Outer Left-Bank Faubourgs	Business	Théodose is a lawyer, rue Saint-Dominique (d’Enfer)	Fact				PB 	XX	159, 163, 174.	 				Les petits bourgeois	PB 	XX	159, 163, 174.	 		rue Saint-Dominique d’Enfer				
Outer Left-Bank Faubourgs	Business	A Ia Providence, Nant, grocer, at the corner of the rue Saint-Dominique	Event				DE 	XXXVIII	195	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	195	 		rue Saint-Dominique d’Enfer				
Outer Left-Bank Faubourgs	Street	Raphael and Planchette go to the rue de Ia Saute to see Spieghalter	Event	Raphael::Planchette::Spieghalter			PC 	XXVII	237	 				La peau de chagrin	PC 	XXVII	237	 	Raphael::Planchette::Spieghalter	rue de Ia Saute				
Outer Left-Bank Faubourgs	Street	The rue de Ia Saute	Description				Vard	 	22, 22, 51, 60, 62.	 				Le vicaire des Ardennes	Vard	 	22, 22, 51, 60, 62.	 		rue de Ia Saute				
Outer Left-Bank Faubourgs	Residence	Houses near the rue de Vaugirard	Description				IP 	XII	101	 				Illusions perdues 	IP 	XII	101	 		rue de Vaugirard				
Outer Left-Bank Faubourgs	Business	Printing-house in the rue de Vaugirard	Description				EHC 	XX	392	 				L'envers de l'histoire contemporain	EHC 	XX	392	 		rue de Vaugirard				
Outer Left-Bank Faubourgs	Street	Godefroid follows the rue de Vaugirard	Event	Godefroid			EITC 	XX	400	 				L'envers de l'histoire contemporain	EITC 	XX	400	 	Godefroid	rue de Vaugirard				
Outer Left-Bank Faubourgs	Street	Godefroid reaches the avenue de l’Observatoire	Event	Godefroid			EHC 	XX	357	 				L'envers de l'histoire contemporain	EHC 	XX	357	 	Godefroid	avenue de l’Observatoire				
Outer Left-Bank Faubourgs	Street	M. Bernard and Nepomucene in the avenue de l’Observatoire	Event	M. Bernard::Nepomucene			EUC 	XX	448	 				L'envers de l'histoire contemporain	EUC 	XX	448	 	M. Bernard::Nepomucene	avenue de l’Observatoire				
Outer Left-Bank Faubourgs	Street	The allée de l’Observatoire	Description				IP 	XII	100, 110.	 				Illusions perdues 	IP 	XII	100, 110.	 		allée de de I’Observatoire				
Outer Left-Bank Faubourgs	Street	Widow of Marshal Ney in the allée de de I’Observatoire	Event	Widow of Marshal Ney			VF 	XXXIX	520	 				La vie d'une femme	VF 	XXXIX	520	 	Widow of Marshal Ney	allée de de I’Observatoire				
Outer Left-Bank Faubourgs	Waterway	The Charenton ferry	Description				Con 	XXXVI	164	 				Le connestable	Con 	XXXVI	164	 		Charenton ferry				
Outer Left-Bank Faubourgs	Bridge	Auguste crosses the pont d’Iena	Event	Auguste			EHC 	XX	447	 				L'envers de l'histoire contemporain	EHC 	XX	447	 	Auguste	pont d’Iena				
Outer Left-Bank Faubourgs	Bridge	Carriage of Calyste and Saline crosses the pont d’Iena	Event	Calyste::Saline			Beat 	V	256	 				Béatrix 	Beat 	V	256	 	Calyste::Saline	pont d’Iena				
Outer Left-Bank Faubourgs	Bridge	Marmus at the pont d’Iena	Event	Marmus			RP 	XL	642	 				Une rue de Paris et son habitant	RP 	XL	642	 	Marmus	pont d’Iena				
Outer Left-Bank Faubourgs	Bridge	Nucingen looks for unknown woman at the pont de Neuilly	Event	Nucingen			SMC 	XV	167, 167.	 				Splendeurs et misères des courtisanes 	SMC 	XV	167, 167.	 	Nucingen	pont de Neuilly				
Outer Left-Bank Faubourgs	Street	Phéllion has a little house in the impasse des Feuiflantines	Fact	Phéllion			PB 	XX	35, 89, 89.	 				Les petits bourgeois	PB 	XX	35, 89, 89.	 	Phéllion	impasse des Feuiflantines				
Outer Left-Bank Faubourgs	Square	Théodose and Claparon have a rendez-vous at the place de l’Observatoire	Event	Théodose::Claparon			PB 	XX	151	 				Les petits bourgeois	PB 	XX	151	 	Théodose::Claparon	place de l’Observatoire				
Outer Left-Bank Faubourgs	Square	The place de l’Observatoire	Description				Cent	 	49	 				Le centenaire	Cent	 	49	 		place de l’Observatoire				
Outer Left-Bank Faubourgs	Field	Félicité admires the Grande-Armée at the Champ-de-Mars	Event	Félicité			Beat 	V	7.0.	 				Béatrix 	Beat 	V	7.0.	 	Félicité	Champ-de-Mars				
Outer Left-Bank Faubourgs	Field	The races at the Champs-de-Mars	Description				DE 	XXXVIII	190	 				Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	190	 		Champ-de-Mars				
Outer Left-Bank Faubourgs	Field	The Champ-de-Mars	Description				Ph 	XXXIX	509	 				Le Philipotin	Ph 	XXXIX	509	 		Champ-de-Mars				
Outer Left-Bank Faubourgs	Park	Rivet advises Bette to kéep Wenceslas from the Chaumière	Event	Rivet::Bette::Wenceslas			B 	XVII	82	 				La cousine Bette	B 	XVII	82	 	Rivet::Bette::Wenceslas	the Chaumière				
Outer Left-Bank Faubourgs	Park	Élodie Chardin is a lorette of the Chaumière	Fact	Élodie Chardin::lorette			B	XVII	412	 				La cousine Bette	B	XVII	412	 	Élodie Chardin::lorette	the Chaumière				
Outer Left-Bank Faubourgs	Park	Théodose and Dutocq think of going to the Chaumière	Event	Théodose::Dutocq			PB 	XX	135	 				Les petits bourgeois	PB 	XX	135	 	Théodose::Dutocq	the Chaumière				
Outer Left-Bank Faubourgs	Park	The notary’s clerk sometimes goes to the Chaumière	Event	notary’s clerk			N 	XL	205	 				Le notaire	N 	XL	205	 	notary’s clerk	the Chaumière				
Outer Left-Bank Faubourgs	Park	Georges likes the grisettes of the Chaumière	Event	Georges::grisette			DV 	II	358	 				Un début dans la vie	DV 	II	358	 	Georges::grisette	the Chaumière				
Outer Left-Bank Faubourgs	Park	Virginie has been to the Chauinière	Event	Virginie			Fai 	XXXV	178	 				Le Faiseur 	Fai 	XXXV	178	 	Virginie	the Chaumière				
Outer Left-Bank Faubourgs	Park	Boulevard is deserted on Chaumière days	Fact				EHC 	XX	359	 				L'envers de l'histoire contemporain	EHC 	XX	359	 		the Chaumière				
Outer Left-Bank Faubourgs	Park	Cartier has his garden behind the Chaumière	Fact	Cartier			EHC 	XX	383	4				L'envers de l'histoire contemporain	EHC 	XX	383	4	Cartier	the Chaumière				
Outer Left-Bank Faubourgs	Square	Jules on the Esplanade de l’Observatoire	Event	Jules			F 	XIII	149	 				Ferragus	F 	XIII	149	 	Jules	Esplanade de l’Observatoire				
Outer Left-Bank Faubourgs	Park	Nucingen looks for Esther at the bois de Meudon	Event	Nucingen::Esther			SMC 	XV	84, 149.	 				Splendeurs et misères des courtisanes 	SMC 	XV	84, 149.	 	Nucingen::Esther	bois de Meudon				
Outer Left-Bank Faubourgs	Cemetary	The wretched processions at Montparnasse cemetery	Event				F 	XIII	147	 				Ferragus	F 	XIII	147	 		cimitière de Montparnasse				
Outer Left-Bank Faubourgs	Cemetary	Marcas buried in the potter’s field at Montparnasse cemetery	Fact	Marcas			ZM 	XXI	434	 				Z. Marcas 	ZM 	XXI	434	 	Marcas	cimitière de Montparnasse				
Outer Left-Bank Faubourgs	Cemetary	Phéllion had bought a lot at the cimietière de l’Ouest	Event	Phéllion			E 	XIX	96	 				Les employés	E 	XIX	96	 	Phéllion	cimietière de l’Ouest				
Outer Left-Bank Faubourgs	Institution	The Bureau des Longitudes	Description				P 	 IX	15	 				Pierrette	P 	 IX	15	 		Bureau des Longitudes				
Outer Left-Bank Faubourgs	Institution	The Bureau des Longitudes	Description				PM	XXXII	31	 				Physiologie du mariage	PM	XXXII	31	 		Bureau des Longitudes				
Outer Left-Bank Faubourgs	Institution	The Bureau des Longitudes	Description				F 	XIII	147	 				Ferragus	F 	XIII	147	 		Bureau des Longitudes				
Outer Left-Bank Faubourgs	Institution	The Bureau des Longitudes	Description				TD 	XXXIX	625	 				Théorie de la demarche	TD 	XXXIX	625	 		Bureau des Longitudes				
Outer Left-Bank Faubourgs	Institution	The Bureau des Longitudes	Description				MI 	XL	131	 				Les martyrs ignores	MI 	XL	131	 		Bureau des Longitudes				
Outer Left-Bank Faubourgs	Institution	The Bureau des Marées	Description				F 	XIII	147	 				Ferragus	F 	XIII	147	 		The Bureau des Marées				
Outer Left-Bank Faubourgs	Institution	Observatoire can be seen from the Bicêtre	Description				FTA 	VI	128	 				La femme de trente ans	FTA 	VI	128	 		Bicêtre prison				
Outer Left-Bank Faubourgs	Institution	The grill of the Observatoire	Description				F 	XIII	147	 				Ferragus	F 	XIII	147	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				ECF 	XXXIX	479 499	 				Echantillon de causerie française	ECF 	XXXIX	479 499	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				TD, 	XXXIX,  	622, 	 				Théorie de la demarche::	TD, 	XXXIX,  	622	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				VPJ	XXXIX	568	 				Voyage de Paris à Java	VPJ	XXXIX	568	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				EC	 XL	10, 11	 				EC	EC	 XL	10, 11	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				PN, CL	XXII	468	 				PN::CL	PN, CL	XXII	468	 		The Observatoire				
Outer Left-Bank Faubourgs	Institution	The Observatoire	Description				Cent	 	50, 53, 55, 55, 56, 57, 59	 				Le centenaire	Cent	 	50, 53, 55, 55, 56, 57, 59	 		The Observatoire				
Outer Left-Bank Faubourgs	Prison	Facino Cane at Bicêtre prison	Event	Facino Cane			FC 	XVI	385	 				FC 	FC 	XVI	385	 	Facino Cane	Bicêtre				
Outer Left-Bank Faubourgs	Prison	"Chabert at Bicêtre; seen there by Derville"	Event	Chabert::Derville			CC	VII	77, 77, 77, 77, 79	 				Le colonel Chabert	CC	VII	77, 77, 77, 77, 79	 	Chabert::Derville	Bicêtre				
Outer Left-Bank Faubourgs	Prison	Bicêtre	Description				CSS 	XIX	337, 344.	 				Les comédiens sans le savoir 	CSS 	XIX	337, 344.	 		Bicêtre				
Outer Left-Bank Faubourgs	Prison	Bicêtre	Description				MI	XL	129	 				Les martyrs ignores	MI	XL	129	 		Bicêtre				
Outer Left-Bank Faubourgs	Prison	Bicêtre	Description				TD	XXXIX	614	 				Théorie de la demarche	TD	XXXIX	614	 		Bicêtre				
Outer Left-Bank Faubourgs	Prison	Bicêtre	Description				CGH	XXXVIII	94	 				Code des gens honnêtes	CGH	XXXVIII	94	 		Bicêtre				
Outer Left-Bank Faubourgs	Prison	Bicêtre	Description				SRF 	XL	170	 				Six rois de France	SRF 	XL	170	 		Bicêtre				
Outer Left-Bank Faubourgs	Quarter	Prices cheap between la Bourbe and la Salpêtrière	Fact				PG 	VI	230	 				Le père Goriot	PG 	VI	230	 		between la Bourbe and la Salpêtrière				
Outer Left-Bank Faubourgs	Quarter	La Bourbe	Description				F 	XIII	147	 				Ferragus	F 	XIII	147	 		La Bourbe				
Outer Left-Bank Faubourgs	Hospital	Philippe is to be taken to the Capucins	Event	Philippe			R	IX	347, 348, 348, 350	 				La Rabouilleuse	R	IX	347, 348, 348, 350	 	Philippe	L’Hôpital du Midi (Capucins)				
Outer Left-Bank Faubourgs	Hospital	L’Hôpital du Midi (Capucins)	Description				PG 	VI	224	 				Le père Goriot	PG 	VI	224	 		L’Hôpital du Midi (Capucins)				
Outer Left-Bank Faubourgs	Hospital	Poverty of the internes at the Capucins	Description	interns at Capucins			PG 	VI	362	 				Le père Goriot	PG 	VI	362	 	interns at Capucins	L’Hôpital du Midi (Capucins)				
Outer Left-Bank Faubourgs	Hospital	The Capucins	Description				F 	XIII	147	 				Ferragus	F 	XIII	147	 		L’Hôpital du Midi (Capucins)				
Outer Left-Bank Faubourgs	Hospital	Félicité’s brother massacred at the Carmes	Event	Félicité’s brother			Beat 	V	66	 				Béatrix 	Beat 	V	66	 	Félicité’s brother	the Carmes				
Outer Left-Bank Faubourgs	Hospital	Cochin, where Bianchon is an interne	Event	Biachon			PG 	VI	471, 490.	 				Le père Goriot	PG 	VI	471, 490.	 	Biachon	Cochin				
Outer Left-Bank Faubourgs	Hospital	Cochin, where Bianchon is an interne	Event	Biachon			F 	XIII	147	 				Ferragus	F 	XIII	147	 	Biachon	Cochin				
Outer Left-Bank Faubourgs	Hospital	Chabert began at the Enfants-Trouvés	Event	Chabert			CC 	VII	79	 				Le colonel Chabert 	CC 	VII	79	 	Chabert	the Enfants-Trouvés				
Outer Left-Bank Faubourgs	Hospital	Saint-Marceau leaves the most children at the Enfant-Trouvés	Event	Saint-Marceau			I 	VII	115	 				I 	I 	VII	115	 	Saint-Marceau	the Enfants-Trouvés				
Outer Left-Bank Faubourgs	Hospital	Cerizet had come from the Enfants-Trouvés	Event	Cerizet			PB 	XX	77	 				Les petits bourgeois	PB 	XX	77	 	Cerizet	the Enfants-Trouvés				
